"","b4_mean","interp_mean","aft_mean","b4_sd","interp_sd","aft_sd","b4_min","interp_min","aft_min","b4_max","interp_max","aft_max"
"sst_mean","   20.2765","   20.2480","   20.1152","    0.0204","    0.0802","    0.1228","   20.2370","   20.1610","   20.0630","   20.2960","   20.4130","   20.4740"
"curl_mean","   -0.0743","   -0.0082","   -0.0078","    0.0372","    0.0222","    0.0021","   -0.0981","   -0.0529","   -0.0087","   -0.0190","    0.0269","   -0.0023"
"dist2slope","11318.5871"," 7836.1019"," 2802.5202","  557.5612"," 4404.0514","  489.2527","10514.5495"," 2432.8261"," 2517.8553","11957.3658","13890.5071"," 4797.7034"
"depth"," 1609.8500"," 1382.6190"," 2799.0500","   10.1061","  325.9286","   44.6595"," 1585.0000"," 1000.0000"," 2719.0000"," 1627.0000"," 2517.0000"," 2855.0000"
"bathy_slope","    2.5849","    6.6633","    5.2882","    0.4885","    4.6493","    1.8492","    1.8066","    1.9212","    2.5095","    3.4977","   15.1452","    8.2835"
"dist2shore","  103.5000","  102.4762","  102.2500","    0.5130","    0.7496","    1.1180","  103.0000","  101.0000","  101.0000","  104.0000","  104.0000","  104.0000"
"chlorophyll_mean","    0.1535","    0.1595","    0.1585","    0.0004","    0.0031","    0.0007","    0.1531","    0.1531","    0.1570","    0.1545","    0.1623","    0.1588"
"ssh_mean","    0.1137","    0.1104","    0.1183","    0.0000","    0.0101","    0.0000","    0.1137","    0.0978","    0.1183","    0.1137","    0.1287","    0.1183"
"mldDepth","   26.2682","   25.6096","   28.3572","    1.0029","    0.7118","    0.4015","   24.4656","   24.2551","   27.7921","   27.4273","   28.2209","   28.8040"
"mldTemp","   19.9394","   19.6575","   19.6105","    0.0665","    0.0992","    0.0387","   19.8210","   19.5330","   19.5530","   20.0280","   19.8120","   19.6390"
"ttDepth","   47.9411","   47.1013","   49.3383","    0.9024","    1.0036","    0.4589","   46.2419","   44.9278","   48.6567","   48.5332","   49.6909","   49.6797"
"ttTemp","   16.8279","   16.6142","   16.6047","    0.0469","    0.0794","    0.0324","   16.7392","   16.5195","   16.5570","   16.8927","   16.7232","   16.6330"
"temp400","    7.4937","    7.4844","    7.5872","    0.0363","    0.0788","    0.0177","    7.4240","    7.3830","    7.5690","    7.5300","    7.6300","    7.6150"
"sal400","   34.3107","   34.2942","   34.3348","    0.0015","    0.0260","    0.0004","   34.3090","   34.2570","   34.3340","   34.3130","   34.3270","   34.3350"
"TOL_125","   80.3427","   73.7041","   67.1401","    4.7106","    5.7038","    3.2116","   71.3709","   67.8189","   64.0222","   87.0788","   90.0105","   78.9591"
"TOL_2000","   73.9150","   69.2967","   59.6083","    6.9650","    5.3632","    4.8319","   63.9296","   61.3654","   52.6448","   89.6149","   78.7197","   66.3331"
